sample,lang,fips,state,cregion,eminuse,intmob,smart1,pial2,pial3,SmartPhone,employ,par,sex,age,educ2,hisp,race,inc,income,party,iphoneuse,hphoneuse
Landline,English,"BERGEN, NJ",New Jersey,Northeast,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,Yes,Female,45,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Yes,Don't know/Refused (VOL.),"$150,000 or over",$75K+,Democrat,Dual,Dual HH
Landline,English,"CIBOLA, NM",New Mexico,West,Yes,No,"No, not a smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, not a smartphone",Employed full-time,Yes,Male,53,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Yes,White,"$50,000 to under $75,000",$50K-LT $75K,Independent,Dual,Dual HH
Landline,English,"MERCER, NJ",New Jersey,Northeast,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,No,Female,59,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,"$100,000 to under $150,000",$75K+,Democrat,Dual,Dual HH
Landline,English,"CHAUTAUQUA, NY",New York,Northeast,Yes,No,,"No, did not use internet/email yesterday",,No cell,Not employed,No,Female,64,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$40,000 to under $50,000",$30K-LT $50K,Democrat,llo,Dual HH
Landline,English,"WESTMORELAND, PA",Pennsylvania,Northeast,No,No,Not sure/Don't know,,,"Cell, not a smartphone",Not employed,No,Female,89,"Some college, no degree (includes some community college)",No,White,"Less than $10,000",Under $30K,Republican,Dual,Dual HH
Landline,English,"MARICOPA, AZ",Arizona,West,No,No,"No, not a smartphone",,,"Cell, not a smartphone",Employed part-time,No,Female,60,"Some college, no degree (includes some community college)",No,White,"$10,000 to under $20,000",Under $30K,Republican,Dual,Dual HH
Landline,English,"DURHAM, NC",North Carolina,South,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Not employed,No,Female,50,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"$50,000 to under $75,000",$50K-LT $75K,Democrat,Dual,Dual HH
Landline,English,"WELD, CO",Colorado,West,Yes,No,"No, not a smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, not a smartphone",Not employed,No,Male,78,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$50,000 to under $75,000",$50K-LT $75K,Republican,Dual,Dual HH
Landline,English,"MUSKEGON, MI",Michigan,Midwest,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,No,Male,22,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$20,000 to under $30,000",Under $30K,Independent,Dual,Dual HH
Landline,English,"TRAVIS, TX",Texas,South,Yes,No,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed part-time,No,Male,23,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,"$50,000 to under $75,000",$50K-LT $75K,Republican,Dual,Dual HH
Landline,English,"COBB, GA",Georgia,South,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,No,Female,62,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$40,000 to under $50,000",$30K-LT $50K,Democrat,Dual,Dual HH
Landline,English,"RAMSEY, MN",Minnesota,Midwest,Yes,No,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Not employed,No,Female,82,Don't know/Refused,No,White,"$50,000 to under $75,000",$50K-LT $75K,Independent,Dual,Dual HH
Landline,English,"LOS ANGELES, CA",California,West,Yes,Yes,,"Yes, used internet/email yesterday","Yes, used at home",No cell,Not employed,No,Female,58,"Some college, no degree (includes some community college)",Yes,White,Don't know/Refused (VOL.),Undesignated,Independent,llo,Dual HH
Landline,English,"MARIPOSA, CA",California,West,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,No,Male,53,Two year associate degree from a college or university,No,White,"$150,000 or over",$75K+,Other party (VOL.),Dual,Dual HH
Landline,English,"SEVIER, AR",Arkansas,South,Yes,No,"No, not a smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, not a smartphone",Not employed,No,Female,56,"Some college, no degree (includes some community college)",No,White,"$30,000 to under $40,000",$30K-LT $50K,Democrat,Dual,Dual HH
Landline,English,"KNOX, TN",Tennessee,South,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,No,Female,56,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$150,000 or over",$75K+,Independent,Dual,Dual HH
Landline,English,"RAMSEY, MN",Minnesota,Midwest,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,No,Male,60,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$100,000 to under $150,000",$75K+,Democrat,Dual,Dual HH
Landline,English,"OUTAGAMIE, WI",Wisconsin,Midwest,Yes,No,,"No, did not use internet/email yesterday",,No cell,Employed full-time,Yes,Male,52,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$50,000 to under $75,000",$50K-LT $75K,Independent,llo,LLO HH
Landline,English,"RAPIDES, LA",Louisiana,South,No,No,Not sure/Don't know,,,"Cell, not a smartphone",Not employed,No,Female,62,High school graduate (Grade 12 with diploma or GED certificate),No,White,"Less than $10,000",Under $30K,Independent,Dual,Dual HH
Landline,English,"BARNSTABLE, MA",Massachusetts,Northeast,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Not employed,Yes,Female,28,"Some college, no degree (includes some community college)",No,White,"Less than $10,000",Under $30K,Independent,Dual,Dual HH
Landline,English,"MONTCALM, MI",Michigan,Midwest,Yes,Yes,Not sure/Don't know,"No, did not use internet/email yesterday",,"Cell, not a smartphone",Not employed,No,Female,54,High school graduate (Grade 12 with diploma or GED certificate),No,White,Don't know/Refused (VOL.),Undesignated,Independent,Dual,Dual HH
Landline,English,"HENRY, TN",Tennessee,South,No,No,"No, not a smartphone",,,"Cell, not a smartphone",Not employed,No,Male,62,High school graduate (Grade 12 with diploma or GED certificate),No,White,"Less than $10,000",Under $30K,Republican,Dual,Dual HH
Landline,English,"MARSHALL, AL",Alabama,South,Yes,No,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Not employed,No,Male,74,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,Native American/American Indian,"$75,000 to under $100,000",$75K+,Republican,Dual,Dual HH
Landline,English,"ALLEGHENY, PA",Pennsylvania,Northeast,Yes,No,"No, not a smartphone","No, did not use internet/email yesterday",,"Cell, not a smartphone",Not employed,No,Male,87,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$20,000 to under $30,000",Under $30K,Independent,Dual,Dual HH
Landline,English,"WASHINGTON, AR",Arkansas,South,Yes,No,"No, not a smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, not a smartphone",Not employed,No,Female,78,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,"$30,000 to under $40,000",$30K-LT $50K,Independent,Dual,Dual HH
Landline,English,"MONTGOMERY, AL",Alabama,South,No,No,"No, not a smartphone",,,"Cell, not a smartphone",Employed full-time,No,Male,35,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"$150,000 or over",$75K+,Independent,Dual,Dual HH
Landline,English,"ALLEGHENY, PA",Pennsylvania,Northeast,No,Yes,"No, not a smartphone","No, did not use internet/email yesterday",,"Cell, not a smartphone",Not employed,No,Female,80,"Some college, no degree (includes some community college)",No,Black or African-American,"$10,000 to under $20,000",Under $30K,Democrat,Dual,Dual HH
Landline,English,"VIRGINIA BEACH CITY, VA",Virginia,South,Yes,No,"No, not a smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, not a smartphone",Not employed,No,Male,82,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,"$75,000 to under $100,000",$75K+,Democrat,Dual,Dual HH
